2026-04-18 12:37:06 | INFO     | GATv2:126 | Epoch 150/500, Loss: 0.000966 (Best: 0.000966 @ Epoch 150)
2026-04-18 12:37:06 | INFO     | GATv2:126 | Epoch 160/500, Loss: 0.000805 (Best: 0.000805 @ Epoch 160)
2026-04-18 12:37:06 | INFO     | GATv2:126 | Epoch 170/500, Loss: 0.000754 (Best: 0.000754 @ Epoch 170)
2026-04-18 12:37:06 | INFO     | GATv2:126 | Epoch 180/500, Loss: 0.000727 (Best: 0.000727 @ Epoch 180)
2026-04-18 12:37:06 | INFO     | GATv2:126 | Epoch 190/500, Loss: 0.000710 (Best: 0.000710 @ Epoch 190)
2026-04-18 12:37:06 | INFO     | GATv2:126 | Epoch 200/500, Loss: 0.000697 (Best: 0.000697 @ Epoch 200)
2026-04-18 12:37:06 | INFO     | GATv2:126 | Epoch 210/500, Loss: 0.000686 (Best: 0.000686 @ Epoch 210)
2026-04-18 12:37:07 | INFO     | GATv2:126 | Epoch 220/500, Loss: 0.000677 (Best: 0.000677 @ Epoch 220)
2026-04-18 12:37:07 | INFO     | GATv2:126 | Epoch 230/500, Loss: 0.000668 (Best: 0.000668 @ Epoch 230)
2026-04-18 12:37:07 | INFO     | GATv2:126 | Epoch 240/500, Loss: 0.000661 (Best: 0.000661 @ Epoch 240)
2026-04-18 12:37:07 | INFO     | GATv2:126 | Epoch 250/500, Loss: 0.000654 (Best: 0.000654 @ Epoch 250)
2026-04-18 12:37:07 | INFO     | GATv2:126 | Epoch 260/500, Loss: 0.000647 (Best: 0.000647 @ Epoch 260)
2026-04-18 12:37:07 | INFO     | GATv2:126 | Epoch 270/500, Loss: 0.000640 (Best: 0.000640 @ Epoch 270)
2026-04-18 12:37:07 | INFO     | GATv2:126 | Epoch 280/500, Loss: 0.000634 (Best: 0.000634 @ Epoch 280)
2026-04-18 12:37:07 | INFO     | GATv2:126 | Epoch 290/500, Loss: 0.000628 (Best: 0.000628 @ Epoch 290)
2026-04-18 12:37:07 | INFO     | GATv2:126 | Epoch 300/500, Loss: 0.000622 (Best: 0.000622 @ Epoch 300)
2026-04-18 12:37:07 | INFO     | GATv2:126 | Epoch 310/500, Loss: 0.000617 (Best: 0.000617 @ Epoch 310)
2026-04-18 12:37:07 | INFO     | GATv2:126 | Epoch 320/500, Loss: 0.000611 (Best: 0.000611 @ Epoch 320)
2026-04-18 12:37:08 | INFO     | GATv2:126 | Epoch 330/500, Loss: 0.000652 (Best: 0.000611 @ Epoch 321)
2026-04-18 12:37:08 | INFO     | GATv2:126 | Epoch 340/500, Loss: 0.000600 (Best: 0.000600 @ Epoch 340)
2026-04-18 12:37:08 | INFO     | GATv2:126 | Epoch 350/500, Loss: 0.000600 (Best: 0.000597 @ Epoch 348)
2026-04-18 12:37:08 | INFO     | GATv2:126 | Epoch 360/500, Loss: 0.000590 (Best: 0.000589 @ Epoch 359)
2026-04-18 12:37:08 | INFO     | GATv2:126 | Epoch 370/500, Loss: 0.000582 (Best: 0.000582 @ Epoch 370)
2026-04-18 12:37:08 | INFO     | GATv2:126 | Epoch 380/500, Loss: 0.000576 (Best: 0.000576 @ Epoch 380)
2026-04-18 12:37:08 | INFO     | GATv2:126 | Epoch 390/500, Loss: 0.000569 (Best: 0.000569 @ Epoch 390)
2026-04-18 12:37:08 | INFO     | GATv2:126 | Epoch 400/500, Loss: 0.000563 (Best: 0.000563 @ Epoch 400)
2026-04-18 12:37:08 | INFO     | GATv2:126 | Epoch 410/500, Loss: 0.000556 (Best: 0.000556 @ Epoch 410)
2026-04-18 12:37:09 | INFO     | GATv2:126 | Epoch 420/500, Loss: 0.000548 (Best: 0.000548 @ Epoch 420)
2026-04-18 12:37:09 | INFO     | GATv2:126 | Epoch 430/500, Loss: 0.000541 (Best: 0.000541 @ Epoch 430)
2026-04-18 12:37:09 | INFO     | GATv2:126 | Epoch 440/500, Loss: 0.000533 (Best: 0.000533 @ Epoch 440)
2026-04-18 12:37:09 | INFO     | GATv2:126 | Epoch 450/500, Loss: 0.000525 (Best: 0.000525 @ Epoch 450)
2026-04-18 12:37:09 | INFO     | GATv2:126 | Epoch 460/500, Loss: 0.000516 (Best: 0.000516 @ Epoch 460)
2026-04-18 12:37:09 | INFO     | GATv2:126 | Epoch 470/500, Loss: 0.000507 (Best: 0.000507 @ Epoch 470)
2026-04-18 12:37:09 | INFO     | GATv2:126 | Epoch 480/500, Loss: 0.000498 (Best: 0.000498 @ Epoch 480)
2026-04-18 12:37:09 | INFO     | GATv2:126 | Epoch 490/500, Loss: 0.000488 (Best: 0.000488 @ Epoch 490)
2026-04-18 12:37:09 | INFO     | GATv2:126 | Epoch 500/500, Loss: 0.000516 (Best: 0.000484 @ Epoch 495)
2026-04-18 12:37:09 | INFO     | GATv2:126 | 训练完成！最佳损失: 0.000484 @ Epoch 495
2026-04-18 12:37:09 | INFO     | GATv2:126 | 模型已保存到: D:\file\4\labreserve\algorithm\models\gatv2_model.pth
2026-04-18 12:37:09 | INFO     | GATv2:126 | 提取节点嵌入向量...
2026-04-18 12:37:09 | INFO     | GATv2:126 | 模型重新训练完成
2026-04-18 12:37:09 | INFO     | GATv2:126 | 后台训练任务完成
2026-04-18 12:37:17 | INFO     | GATv2:126 | 为用户 1 生成Top-8推荐...
2026-04-18 12:37:17 | INFO     | GATv2:126 | 为用户 1 生成了 5 条推荐
2026-04-18 12:37:17 | INFO     | GATv2:126 | 保存 5 条推荐到数据库...
2026-04-18 12:37:17 | INFO     | GATv2:126 | 推荐结果已保存到数据库
2026-04-18 12:43:33 | INFO     | GATv2:126 | 为用户 1 生成Top-5推荐...
2026-04-18 12:43:33 | INFO     | GATv2:126 | 为用户 1 生成了 5 条推荐
2026-04-18 12:43:33 | INFO     | GATv2:126 | 保存 5 条推荐到数据库...
2026-04-18 12:43:33 | INFO     | GATv2:126 | 推荐结果已保存到数据库
2026-04-18 12:43:35 | INFO     | GATv2:126 | 为用户 1 生成Top-4推荐...
2026-04-18 12:43:35 | INFO     | GATv2:126 | 为用户 1 生成了 4 条推荐
2026-04-18 12:43:35 | INFO     | GATv2:126 | 保存 4 条推荐到数据库...
2026-04-18 12:43:36 | INFO     | GATv2:126 | 推荐结果已保存到数据库
2026-04-18 12:45:53 | INFO     | GATv2:126 | 为用户 1 生成Top-5推荐...
